model,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
gradient_boosting,0.8098817867281761,0.6696712152007069,0.5601984200943355,0.609978353081284,0.8628197984504196,0.005617293182452302,0.6868800112198314,0.011564732884605954
random_forest,0.7837567141428479,0.5717344656876377,0.7394431621052028,0.6448081206194097,0.8587894738262971,0.005277650072509919,0.6787514067270507,0.010279500391257551
logistic_regression,0.7589100506484289,0.529836521484818,0.8127439033132141,0.6414354549477803,0.8575787143559934,0.008881396880916239,0.673338732602754,0.008941888580365312
decision_tree,0.7536555785857152,0.5232916390091773,0.811690154979857,0.6360676640010767,0.8449165580861242,0.008796565188877526,0.6194398105926437,0.009201015061803337
mlp_classifier,0.7583398525711336,0.54775359259999,0.5130994537712721,0.5298212612883713,0.7936579977018443,0.007535599863708511,0.5331948957430308,0.020641289138734073
